Sample,Day_number,Date,Location,Strait,Monsoon period,Rain7,Rain1,Chl,Temperature,Salinity,NOx,NO2 ,NO3,Phosphate,Silicate ,NH4,DIN,BAC
PR01,37,06-Feb-17,Pasir Ris,Johor,NE,92.8,20.4,,29.25,24.57,6.992,1.816,5.176,0.285,1.619,4.815,11.807,3009850
EC02,65,06-Mar-17,East Coast,Singapore ,IM-1,52.4,5.6,,28.11,31.69,1.344,0.07,1.274,0.048,3.049,0.378,1.722,1229450
PR02,65,06-Mar-17,Pasir Ris,Johor,IM-1,71.6,0,,29.01,27.9,8.453,2.298,6.155,1.429,12.32,13.435,21.888,3798300
SBW02,65,06-Mar-17,Sembawang,Johor,IM-1,79.4,0.8,,29.72,26.94,14.872,7.856,7.016,2.005,14.386,14.16,29.032,5600100
STJ02,65,06-Mar-17,St.John,Singapore ,IM-1,,,,28.13,31.64,5.784,0.18,5.604,0.101,5.616,1.257,7.041,1187500
PR03,93,03-Apr-17,Pasir Ris,Johor,IM-1,61.6,0,,,,,,,,,,,3343400
SBW03,93,03-Apr-17,Sembawang,Johor,IM-1,25,0,,30.98,27.12,,,,,,,,3132050
EC04,122,02-May-17,East Coast,Singapore ,IM-1,55,0,,30.25,31.83,,,,,,,,1036475
PR04,122,02-May-17,Pasir Ris,Johor,IM-1,38,0,,30.57,28.55,,,,,,,,2541900
SBW04,122,02-May-17,Sembawang,Johor,IM-1,76.6,,,31.79,28.44,,,,,,,,3963050
STJ04,122,02-May-17,St.John,Singapore ,IM-1,91,0,,30.08,31.77,,,,,,,,923900
PR05,151,31-May-17,Pasir Ris,Johor,IM-1,33.6,,11.23,,,,,,,,,,3990800
SBW05,151,31-May-17,Sembawang,Johor,IM-1,25.6,12,44.28,,,,,,,,,,4528300
EC06,185,04-Jul-17,East Coast,Singapore ,SW,7.2,1.8,1.55,29.76,30.54,4.471,0.604,3.869,0.255,12.913,0.125,4.596,1426700
PR06,185,04-Jul-17,Pasir Ris,Johor,SW,32.6,2.4,22.99,31.22,27.46,0.828,0.528,0.3,0.056,0.469,0.781,1.609,3300500
SBW06,185,04-Jul-17,Sembawang,Johor,SW,14.8,,87.69,32.39,26.24,1.764,1.464,0.3,0.038,0.429,0.781,2.545,5655550
EC07,212,31-Jul-17,East Coast,Singapore ,SW,5,0,5.48,,,0.06,0.01,0.05,0.016,3.478,0.125,0.185,1632950
PR07,212,31-Jul-17,Pasir Ris,Johor,SW,2.6,0,4.22,30.48,28.94,10.838,5.151,5.408,1.104,19.591,6.558,17.396,1628400
SBW07,212,31-Jul-17,Sembawang,Johor,SW,0,,27.9,32.84,27.15,6.414,4.076,2.145,3.578,31.095,18.22,24.634,4534900
STJ07,212,31-Jul-17,St.John,Singapore ,SW,13.2,0,2.47,,,3.216,0.284,2.934,0.231,9.294,0.125,3.341,1637950
EC08,241,29-Aug-17,East Coast,Singapore ,SW,10.8,0,2.35,29.45,30.39,2.252,0.222,2.031,0.217,9.122,0.199,2.451,1035775
PR08,241,29-Aug-17,Pasir Ris,Johor,SW,7,2.5,42.9,29.89,26.83,9.617,5.337,4.042,0.181,1.516,0.927,10.544,3145000
