# Constructed from biom file
#OTU ID	EC04XS4	EC06XS9	EC07XS13	EC08XS17	EC11XS24	EC13XS34	EC14XS39	EC15XS44	EC17XS51	EC18XS56	EC19XS61	EC20X16SXS109	EC21X16SXS114	EC22X16SXS119	EC2X16SXS20	PR03XS1	PR04XS5	PR05XS7	PR06XS10	PR07XS14	PR08XS18	PR11XS25	PR12XS30	PR13XS35	PR14XS40	PR15XS45	PR16XS48	PR17XS52	PR18XS57	PR19XS62	PR1X16SXS17	PR20X16SXS110	PR21X16SXS115	PR22X16SXS120	PR2X16SXS21	RM08XS20	RM11XS27	RM12XS32	RM13XS36	RM14XS42	RM15XS47	RM17XS54	RM18X16SXS107	RM19XS64	RM21X16SXS112	RM22X16SXS117	SBW03XS2	SBW04XS6	SBW05XS8	SBW06XS11	SBW07XS15	SBW08XS19	SBW10XS21	SBW11XS26	SBW12XS31	SBW13XS37	SBW14XS41	SBW15XS46	SBW16XS49	SBW17XS53	SBW18XS58	SBW19XS63	SBW20X16SXS111	SBW21X16SXS116	SBW22X16SXS121	SBW2X16SXS22	STJ04XS3	STJ07XS12	STJ08XS16	STJ11XS23	STJ12XS28	STJ13XS33	STJ14XS38	STJ15XS43	STJ17XS50	STJ18XS55	STJ19XS60	STJ20X16SXS108	STJ21X16SXS113	STJ22X16SXS118	STJ2X16SXS19
e5c40445fb583210a3c9e8a95ed3b2ae	1472.0	801.0	1521.0	963.0	821.0	945.0	895.0	3711.0	1290.0	540.0	700.0	2180.0	0.0	7739.0	0.0	7798.0	4687.0	11403.0	7464.0	1973.0	8449.0	9079.0	5293.0	4789.0	6254.0	9353.0	5379.0	9727.0	7205.0	3499.0	1944.0	17386.0	5033.0	3603.0	2232.0	4803.0	0.0	1694.0	1640.0	2643.0	3138.0	2445.0	12684.0	2040.0	2125.0	3567.0	8746.0	1631.0	1698.0	2727.0	666.0	2929.0	2683.0	3071.0	926.0	1546.0	1237.0	6794.0	1746.0	2359.0	2632.0	476.0	2667.0	4426.0	3401.0	3698.0	1310.0	716.0	896.0	1774.0	1138.0	653.0	576.0	2425.0	1077.0	493.0	895.0	2417.0	2680.0	2205.0	2828.0
a0ad5fcd018d3b94dbecd372d0616199	3282.0	3621.0	1387.0	1289.0	1238.0	4261.0	2733.0	2974.0	4231.0	2137.0	921.0	5352.0	8072.0	4862.0	1197.0	151.0	1808.0	209.0	0.0	1406.0	292.0	1597.0	881.0	2982.0	614.0	70.0	125.0	967.0	2024.0	399.0	446.0	4543.0	7179.0	11544.0	1817.0	672.0	7813.0	1377.0	931.0	1134.0	591.0	3318.0	7915.0	829.0	3126.0	7789.0	0.0	705.0	0.0	0.0	3647.0	276.0	0.0	477.0	0.0	966.0	0.0	0.0	0.0	3941.0	919.0	224.0	1298.0	458.0	2608.0	634.0	2151.0	1631.0	557.0	1512.0	1767.0	2279.0	2416.0	1780.0	2875.0	939.0	1045.0	4524.0	5354.0	2906.0	897.0
d571e35f6d420c79da3e44f86425d71b	3220.0	5414.0	1696.0	3443.0	2357.0	4106.0	5934.0	4926.0	9913.0	6715.0	2796.0	5582.0	8511.0	4928.0	2953.0	61.0	172.0	52.0	0.0	848.0	0.0	280.0	53.0	96.0	0.0	0.0	0.0	445.0	252.0	0.0	1206.0	1048.0	2161.0	2419.0	0.0	548.0	529.0	479.0	642.0	1015.0	660.0	6574.0	4235.0	1553.0	2258.0	2648.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	903.0	2347.0	1506.0	2565.0	4088.0	4008.0	2260.0	5741.0	2557.0	8814.0	4834.0	4124.0	4668.0	4616.0	2741.0	5045.0
56566c732569663abe70b9cbf23f28f2	2597.0	1532.0	729.0	1853.0	2780.0	2601.0	2697.0	2641.0	1584.0	1997.0	2257.0	6980.0	4304.0	3344.0	2846.0	657.0	1029.0	1171.0	115.0	1083.0	32.0	687.0	373.0	1250.0	1341.0	182.0	329.0	1851.0	563.0	975.0	1541.0	5885.0	2463.0	3526.0	2500.0	1190.0	703.0	1604.0	1577.0	2095.0	1282.0	2367.0	9992.0	2175.0	3215.0	3784.0	0.0	87.0	316.0	36.0	0.0	152.0	34.0	138.0	0.0	0.0	123.0	0.0	148.0	170.0	72.0	35.0	2593.0	900.0	1019.0	993.0	1712.0	2188.0	1429.0	2438.0	2208.0	2195.0	1168.0	1990.0	1952.0	2252.0	3006.0	5875.0	4370.0	4010.0	3256.0
86871ec9bd362169ce006639370e420f	6136.0	1321.0	113.0	1813.0	3628.0	9759.0	472.0	0.0	0.0	0.0	0.0	681.0	11242.0	1687.0	0.0	0.0	1218.0	603.0	0.0	1484.0	0.0	231.0	206.0	921.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2228.0	6662.0	0.0	354.0	1955.0	3934.0	1802.0	832.0	279.0	0.0	0.0	0.0	7819.0	1878.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	370.0	0.0	0.0	5998.0	1181.0	2344.0	6373.0	3277.0	10021.0	715.0	316.0	0.0	0.0	0.0	2837.0	13221.0	5428.0	0.0
81082862c7240dd2617f2cba246cc1d9	172.0	0.0	0.0	0.0	0.0	535.0	154.0	0.0	0.0	0.0	148.0	169.0	254.0	0.0	0.0	0.0	1633.0	423.0	153.0	0.0	0.0	0.0	697.0	2053.0	835.0	0.0	100.0	0.0	0.0	194.0	0.0	1130.0	211.0	2138.0	788.0	290.0	3767.0	2148.0	2304.0	2563.0	252.0	0.0	0.0	223.0	1483.0	826.0	1465.0	2544.0	13046.0	1654.0	1507.0	5053.0	911.0	2837.0	7702.0	6673.0	5823.0	789.0	311.0	208.0	569.0	559.0	14632.0	8210.0	1677.0	8889.0	260.0	0.0	86.0	160.0	178.0	398.0	200.0	0.0	0.0	0.0	0.0	320.0	397.0	212.0	0.0
a5c06312e4bebd8c0efe39b72f1f737d	890.0	3848.0	334.0	4428.0	5198.0	406.0	1032.0	1310.0	0.0	0.0	0.0	229.0	13076.0	5801.0	0.0	0.0	0.0	68.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	813.0	2230.0	0.0	510.0	313.0	472.0	46.0	98.0	84.0	0.0	34.0	0.0	3113.0	1822.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1477.0	4313.0	6049.0	4289.0	2058.0	426.0	2072.0	2474.0	0.0	0.0	0.0	1287.0	14915.0	16299.0	0.0
084cfcbb95b2c3158c4afca87e898334	143.0	194.0	259.0	268.0	204.0	94.0	89.0	488.0	535.0	85.0	73.0	317.0	0.0	2809.0	0.0	1553.0	555.0	5747.0	6084.0	446.0	960.0	2889.0	1948.0	2174.0	1821.0	2237.0	2700.0	866.0	693.0	1913.0	782.0	2015.0	681.0	739.0	0.0	1634.0	517.0	742.0	1232.0	823.0	1551.0	773.0	2766.0	454.0	378.0	1548.0	2823.0	1900.0	1657.0	3148.0	650.0	1922.0	1553.0	2618.0	1429.0	1102.0	1154.0	1250.0	570.0	637.0	3620.0	597.0	2112.0	3937.0	5762.0	2395.0	116.0	205.0	82.0	391.0	163.0	48.0	59.0	232.0	164.0	0.0	62.0	813.0	543.0	456.0	0.0
1c4bdc739efae881ac69ae2cddce3d0e	451.0	0.0	345.0	246.0	234.0	583.0	482.0	1094.0	529.0	523.0	440.0	1566.0	0.0	409.0	0.0	2126.0	590.0	2280.0	851.0	416.0	5591.0	1462.0	2677.0	1245.0	1772.0	2464.0	2208.0	2254.0	1527.0	1687.0	0.0	5021.0	2314.0	849.0	0.0	2183.0	0.0	273.0	838.0	309.0	1969.0	638.0	5853.0	445.0	796.0	1722.0	1392.0	335.0	1264.0	789.0	239.0	3669.0	443.0	1958.0	848.0	463.0	957.0	1788.0	572.0	2762.0	1330.0	217.0	2823.0	1413.0	4279.0	0.0	387.0	301.0	0.0	453.0	501.0	465.0	381.0	767.0	833.0	644.0	447.0	1302.0	701.0	541.0	1669.0
047135540464eeda5eac4f4efa02c1f5	3583.0	2775.0	115.0	1001.0	2590.0	1936.0	1834.0	1384.0	1329.0	917.0	1446.0	2377.0	5640.0	3431.0	1226.0	0.0	576.0	0.0	0.0	460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	803.0	110.0	1244.0	2073.0	915.0	0.0	0.0	830.0	37.0	1099.0	48.0	756.0	304.0	625.0	4355.0	2712.0	0.0	83.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	221.0	0.0	0.0	0.0	3450.0	1782.0	1212.0	793.0	1725.0	1738.0	2602.0	1655.0	1353.0	911.0	2421.0	5510.0	9409.0	8559.0	1390.0
